customer_id,first_name,last_name,email,signup_date,marketing_opt_in,country
1,Danielle,Johnson,john21@example.net,2025-08-22 14:54:13.511306,True,France
2,Joy,Gardner,fjohnson@example.org,2024-07-14 18:58:37.511306,True,United Kingdom
3,Jesse,Guzman,jennifermiles@example.com,2025-09-30 06:42:23.511306,True,Nigeria
4,Jeffrey,Lawrence,blakeerik@example.com,2023-12-09 11:56:06.511306,True,Germany
5,Matthew,Moore,curtis61@example.com,2025-04-08 08:46:08.511306,True,Germany
6,Melanie,Munoz,blairamanda@example.com,2025-09-03 06:41:27.511306,True,India
7,Christian,Carter,barbara10@example.net,2025-07-02 20:58:44.511306,False,United States
8,Jeremy,Roberts,wyattmichelle@example.com,2024-04-19 02:14:13.511306,True,Canada
9,Joshua,Reid,francisco53@example.net,2024-06-14 23:06:19.511306,True,Nigeria
10,Joseph,Zuniga,lynchgeorge@example.net,2024-02-14 23:55:13.511306,False,Netherlands
11,John,Ford,veronica83@example.net,2024-08-03 12:25:56.511306,False,Australia
12,Mark,Tate,perezantonio@example.com,2024-03-14 00:37:56.511306,True,France
13,Richard,Jones,jason76@example.net,2025-08-12 09:22:11.511306,False,Brazil
14,Stephen,Baker,julieryan@example.net,2025-06-20 17:51:04.511306,False,United States
15,Brenda,Hurst,icox@example.net,2025-09-14 19:08:52.511306,False,United Kingdom
16,Trevor,Campos,hernandezernest@example.net,2024-07-02 14:31:39.511306,True,India
17,Robert,Brown,dcarlson@example.net,2025-08-19 00:08:00.511306,True,Brazil
18,John,Tran,frazierdanny@example.net,2024-06-08 20:34:14.511306,False,United Kingdom
19,Karen,Mack,daniel62@example.com,2025-07-23 09:58:08.511306,True,Germany
20,Aaron,Bowen,teresa28@example.org,2024-04-23 03:40:50.511306,True,Australia
21,Monica,Evans,ericfarmer@example.net,2024-06-18 22:39:25.511306,False,United States
22,Stephanie,Nielsen,georgetracy@example.org,2024-06-28 12:01:08.511306,False,Nigeria
23,Sarah,Koch,john39@example.org,2024-08-07 13:15:36.511306,True,Netherlands
24,Christopher,Tucker,spenceamanda@example.org,2024-09-24 18:35:30.511306,True,Nigeria
25,David,Alvarez,josephbrennan@example.com,2025-08-27 03:33:23.511306,True,Canada
26,Tamara,Hickman,jenniferross@example.net,2024-07-17 07:17:20.511306,True,Netherlands
27,Debra,Kim,omartinez@example.org,2025-01-19 08:05:45.511306,True,Germany
28,Matthew,Chapman,briannasmith@example.net,2024-03-28 05:24:05.511306,True,United States
29,Crystal,Perez,heathchad@example.org,2024-02-27 16:24:54.511306,True,Nigeria
30,Joshua,Washington,jenniferkhan@example.net,2025-07-09 13:09:47.511306,True,Netherlands
31,Thomas,Mueller,glee@example.net,2025-03-01 06:06:53.511306,True,Australia
32,Ryan,Henderson,dshields@example.net,2023-11-18 15:01:15.511306,True,Australia
33,Denise,Lucas,powellmatthew@example.org,2024-08-07 10:11:13.511306,True,France
34,John,Lee,ltaylor@example.com,2025-01-25 16:36:31.511306,True,France
35,Steven,Baxter,ramosmichelle@example.net,2025-04-02 17:21:17.511306,True,United Kingdom
36,Corey,Pearson,novaksara@example.org,2025-08-08 21:42:58.511306,False,Australia
37,Gabriel,Tucker,michellebarrera@example.org,2025-07-22 18:05:32.511306,True,Canada
38,Nicholas,Galloway,sara74@example.com,2025-05-13 06:09:35.511306,False,Netherlands
39,Heather,Cross,smoore@example.org,2024-10-04 04:38:23.511306,True,Brazil
40,Tanya,Riley,adkinsbrian@example.net,2024-09-16 19:34:06.511306,True,Netherlands
41,Thomas,Calhoun,brianromero@example.org,2024-01-26 13:58:07.511306,False,United Kingdom
42,Casey,Jones,richarddavid@example.net,2025-05-05 15:25:44.511306,True,India
43,John,Wheeler,barnesbrandy@example.net,2025-05-22 16:51:44.511306,True,Netherlands
44,Leslie,Green,john62@example.net,2025-01-13 18:33:41.511306,False,Germany
45,Debbie,Bryant,smithchristine@example.net,2025-11-06 22:11:58.511306,True,Brazil
46,Wendy,Jones,williamanderson@example.com,2025-01-29 05:41:40.511306,True,Germany
47,Nicole,Suarez,justin78@example.net,2024-06-24 13:10:53.511306,True,Netherlands
48,Kevin,Riggs,contrerasangela@example.net,2025-05-27 19:13:42.511306,True,United States
49,Dale,Humphrey,darrell18@example.org,2024-01-19 09:49:40.511306,True,United Kingdom
50,Joseph,Jacobs,james48@example.com,2023-12-09 22:52:50.511306,True,Germany
51,John,Odonnell,davisrodney@example.com,2024-08-19 04:31:25.511306,True,Canada
52,Bradley,Cook,danagreen@example.net,2025-06-14 07:49:46.511306,True,India
53,Scott,Thornton,rodriguezsierra@example.net,2024-12-27 17:46:58.511306,True,Nigeria
54,Rebecca,Gardner,brandi26@example.org,2024-11-04 02:16:20.511306,True,United States
55,Bobby,Diaz,nolanjason@example.org,2025-09-27 10:38:30.511306,False,United Kingdom
